"ID","Type","Name","Title / Specialization","URL","Image URL","City","Address","Rating","Reviews Count","Phones","Instagram","Facebook","Telegram","Viber","TikTok","YouTube","Price Range","Services Count","Services & Prices Summary","Crawled At"
"fargo","salon","fargo","","https://barb.ua/uk/salon/fargo","","Київ","","","","","","","","","","","","0","","2026-08-18T18:09:50.225Z"
"afelcher","master","afelcher","","https://barb.ua/uk/master/afelcher","","Київ","","","","","","","","","","","","0","","2026-08-18T18:09:52.692Z"
"pastelbc","salon","pastelbc","","https://barb.ua/uk/salon/pastelbc","","Київ","","","","","","","","","","","","0","","2026-08-18T18:09:55.248Z"
